gsm	srr	mate	fastq	file2
GSM2387772	SRR5010558	1	SRR5010558_1.fastq.gz	SRR5010558_2.fastq.gz
GSM2387773	SRR5010559	1	SRR5010559_1.fastq.gz	SRR5010559_2.fastq.gz
GSM2387774	SRR5010560	1	SRR5010560_1.fastq.gz	SRR5010560_2.fastq.gz
GSM2387775	SRR5010561	1	SRR5010561_1.fastq.gz	SRR5010561_2.fastq.gz
