gsm	srr	mate	fastq	file2
GSM2385220	SRR5000162	1	SRR5000162_1.fastq.gz	SRR5000162_2.fastq.gz
GSM2385221	SRR5000163	1	SRR5000163_1.fastq.gz	SRR5000163_2.fastq.gz
GSM2385222	SRR5000164	1	SRR5000164_1.fastq.gz	SRR5000164_2.fastq.gz
GSM2385223	SRR5000165	1	SRR5000165_1.fastq.gz	SRR5000165_2.fastq.gz
