gsm	srr	mate	fastq	file2
GSM2363518	SRR4473871	1	SRR4473871_1.fastq.gz	SRR4473871_2.fastq.gz
GSM2363519	SRR4473872	1	SRR4473872_1.fastq.gz	SRR4473872_2.fastq.gz
GSM2363520	SRR4473873	1	SRR4473873_1.fastq.gz	SRR4473873_2.fastq.gz
GSM2363521	SRR4473874	1	SRR4473874_1.fastq.gz	SRR4473874_2.fastq.gz
GSM2363522	SRR4473875	1	SRR4473875_1.fastq.gz	SRR4473875_2.fastq.gz
GSM2363523	SRR4473876	1	SRR4473876_1.fastq.gz	SRR4473876_2.fastq.gz
